evalMode,method,seq_pos,pid,order,a,r,f,y,z,u,T1,class,weight,base_est,slack,deadline,aisle_switch,cum_time_end
aisle,DHGA,208,276,84,19,18,B,1,2,2,0.828480,medium,2,8.007323,4.454265,35.666735,1,209.123520
aisle,DHGA,209,164,49,19,19,A,2,2,2,0.868240,medium,2,6.094233,4.154172,25.316491,0,209.991760
aisle,DHGA,210,90,27,19,19,A,3,1,1,0.766240,medium,2,4.123914,4.334859,17.876587,0,210.758000
aisle,DHGA,211,163,49,8,8,A,2,4,1,0.878680,medium,2,6.094233,4.154172,25.316491,1,212.961680
aisle,DHGA,212,105,31,8,7,B,3,1,2,0.554120,urgent,5,6.094233,1.623450,9.893681,0,213.515800
aisle,DHGA,213,190,57,16,16,A,3,2,1,0.823160,loose,1,6.094233,7.309567,44.546206,1,215.663960
aisle,DHGA,214,66,20,16,15,B,3,4,1,1.029800,loose,1,9.865909,8.697700,85.810710,0,216.693760
aisle,DHGA,215,269,81,16,15,B,2,2,1,0.783400,loose,1,2.093505,8.706044,18.226146,0,217.477160
aisle,DHGA,216,138,41,12,11,B,1,3,2,0.811160,medium,2,4.123914,3.791673,15.636536,1,219.613320
aisle,DHGA,217,74,22,12,11,B,2,1,1,0.596560,medium,2,9.865909,4.310064,42.522703,0,220.209880
aisle,DHGA,218,285,86,9,8,B,1,4,2,0.868080,loose,1,9.865909,7.718536,76.150376,1,222.402960
aisle,DHGA,219,50,15,9,9,A,1,4,1,0.876040,urgent,5,13.429826,1.817828,24.413110,0,223.279000
aisle,DHGA,220,110,33,9,8,B,2,2,1,0.653480,urgent,5,9.865909,1.860687,18.357366,0,223.932480
aisle,DHGA,221,38,11,9,9,A,3,2,1,0.693240,urgent,5,8.007323,1.543240,12.357220,0,224.625720
aisle,DHGA,222,37,11,9,8,B,2,4,1,0.878680,urgent,5,8.007323,1.543240,12.357220,0,225.504400
aisle,DHGA,223,52,15,6,5,B,1,2,2,0.587200,urgent,5,13.429826,1.817828,24.413110,1,227.416600
aisle,DHGA,224,47,15,6,5,B,3,3,1,0.731600,urgent,5,13.429826,1.817828,24.413110,0,228.148200
aisle,DHGA,225,100,30,6,6,A,3,3,2,0.760760,urgent,5,13.429826,1.729280,23.223928,0,228.908960
aisle,DHGA,226,183,55,6,6,A,2,3,2,0.739560,urgent,5,11.672586,1.603029,18.711499,0,229.648520
aisle,DHGA,227,39,11,6,6,A,3,4,1,0.862760,urgent,5,8.007323,1.543240,12.357220,0,230.511280
aisle,DHGA,228,49,15,7,7,A,2,2,1,0.634920,urgent,5,13.429826,1.817828,24.413110,1,232.471200
aisle,DHGA,229,57,18,7,7,A,3,2,2,0.666720,medium,2,6.094233,4.033220,24.579384,0,233.137920
aisle,DHGA,230,117,35,7,7,A,2,2,2,0.645520,urgent,5,9.865909,1.767416,17.437169,0,233.783440
aisle,DHGA,231,118,35,7,7,A,2,3,2,0.758120,urgent,5,9.865909,1.767416,17.437169,0,234.541560
